date,comment
2026-05-11 18:55:39,Jaajef! Content que ça aide
2026-05-10 21:59:14,Ah oui c’est hilarant car tu te rends compte que ce sont des vérités simples mais qui nous échappent souvent😁
2026-05-10 15:09:36,🙌🏾❤️
2026-05-02 09:53:43,Detwaay! Ligeeyal nak😁
2026-05-02 09:51:59,Respect Seydina🤝
2026-05-01 23:26:06,🤝❤️
2026-05-01 23:26:00,La base 🤝
2026-05-01 17:42:38,🤝❤️
2026-05-01 17:42:28,"Ligeey c’est une expression des qualités divines en nous. En tant que professeur par exemple Sama Ligeey c’est la transmission de connaissances. Xëy bi nak mën na nek poste au lycée. Si j’étais médecin ligeey bi c’est soulager la douleur. Xëy bi meun nak poste à l’hôpital Fann en tant que chirurgien. Amna ñoo xamni sen ligeey yiir sen ndiaboot la, amna ño xamni sen ligeey bègal nit ñi la à travers l’humour…"
2026-05-01 15:18:25,Très cher🙌🏾
2026-05-01 15:18:10,❤️📌
2026-05-01 15:18:05,🙌🏾😂
2026-05-01 14:55:18,Jaajef
2026-05-01 14:55:16,Jaajef mon frère 🤝❤️
2026-05-01 14:55:03,Jaajef❤️
2026-05-01 12:52:11,Yeah bul wax dara
2026-05-01 12:51:58,🤝❤️
2026-05-01 12:51:53,🤝❤️
2026-05-01 12:24:38,🙌🏾❤️
2026-05-01 12:24:16,🤝
2026-05-01 12:24:10,🙌🏾❤️
2026-05-01 12:24:01,❤️📌
2026-04-26 12:11:06,🙌🏾❤️
2026-04-22 21:58:53,🙌🏾
2026-04-17 17:43:43,Amiin tres cher🤝❤️
2026-04-13 22:53:39,Pas de profession mais de nature
2026-04-13 18:33:19,Lu werr🤝
2026-04-12 23:23:30,Ah tarkalla kon😁🤝 Jaajef
2026-04-12 21:30:07,🤝❤️
2026-04-12 16:06:21,Amiin🙏🏾❤️Jaajef
2026-04-11 21:48:20,🤝❤️
2026-04-11 19:58:54,😂
2026-04-11 11:35:16,🙌🏾❤️
2026-04-10 22:33:36,Jaajef 🙌🏾
2026-04-10 21:27:21,🙏🏾❤️
2026-04-10 21:27:14,Merci❤️
2026-04-10 21:27:07,Merci 🤝❤️
2026-04-10 21:26:59,🙏🏾❤️
2026-04-10 21:26:52,Waw xalaat bu du ci ñakk. C’est bien tant que ça aide à te rapprocher de la vérité 🙏🏾
2026-04-10 21:25:26,In Sha Allah ça ne tardera pas
2026-04-10 17:45:32,Lou werr nga wax
2026-04-10 17:44:45,Flatté 🙏🏾❤️
2026-04-10 13:29:14,🤭
2026-04-10 13:29:05,🤝❤️
2026-04-10 13:28:54,🙏❤️
2026-04-10 12:32:11,My pleasure ❤️
2026-04-10 11:08:12,🙏🏾❤️
2026-04-10 10:02:38,"Amiin, Jàmm ci yaw frère 🙏🏾❤️"
2026-04-10 10:00:54,🤝❤️
2026-04-10 10:00:49,❤️📌
2026-04-09 15:06:29,"Haha enfin c’est clair dans ma tête , je l’avais prise en photo même. Il est Bon🤌🏾"
2026-04-08 10:32:28,"Jaajef frère, begee naala, Amal diam"
2026-04-08 10:28:30,🙏🏾❤️
2026-04-04 22:12:11,🤝❤️
2026-04-01 23:36:39,🤝❤️
2026-04-01 10:11:40,🤝❤️
2026-03-31 20:16:44,Bilay 😁
2026-03-31 20:16:06,🤝❤️
2026-03-31 19:01:46,Jaajef 🙏🏾
2026-03-31 19:01:34,Lu werr 🤝❤️
2026-03-31 14:37:53,🙏🏾❤️
2026-03-31 12:28:01,🙌🏾❤️
2026-03-31 11:45:31,🤭😁
2026-03-31 01:20:44,Amiin❤️
2026-03-31 01:15:44,Xalaat yi sou bariwe xol bi du dal! Ci tewlu la xam di amè
2026-03-31 01:14:55,Waw fikrou ci touti rek 😁
2026-03-31 01:14:28,Kilifeu gi🙌🏾❤️
2026-03-31 01:14:17,🤝❤️
2026-03-30 23:59:03,🙌🏾❤️
2026-03-30 22:55:29,Dëgg bu werr! Jaajef très cher🤝❤️
2026-03-30 22:01:52,"Exact! liñuy def, c’est une conséquence de ce que nous sommes."
2026-03-30 21:58:40,🤝❤️
2026-03-30 21:58:14,🙌🏾❤️
2026-03-30 21:55:21,"Ndeysaan, Borom deg deg nga 🤝"
2026-03-30 21:54:02,"Absolument, désapprentissage est nécessaire. On a hérité de bcp de croyances erronées"
2026-03-30 21:52:45,Non pas encore! Je vais y songer In Sha Allah. Merci pour la force 🤝
2026-03-30 16:53:07,"Keemtaan! Ñoo bokk gèj gi wax dëgg, na goor japp ci goor🤝"
2026-03-30 09:35:29,🤝❤️
2026-03-30 00:41:55,Amaguma groupe public mais je compte le créer In Sha Allah
2026-03-30 00:41:01,🙌🏾❤️
2026-03-29 16:24:17,Content que ça aide
2026-03-28 11:45:12,🤝❤️
2026-03-27 02:09:09,Pourtant lu sérieux laay tek nii😁
2026-03-26 21:08:20,Waw lolu d tolluwaay la ndeysaan! Ma Sha Allah
2026-03-26 19:33:35,🙏🏾❤️
2026-03-26 16:26:24,🙌🏾❤️
2026-03-26 14:51:51,Amiin🙏🏾❤️
2026-03-26 11:39:42,Amiin🙏🏾❤️
2026-03-26 11:16:37,🙏❤️
2026-03-26 06:49:50,Waw yitey jamono d mo ñuy fàte loo sunu bopp
2026-03-26 00:53:12,"Eskëy, lolu war ngamako modélisél d. Merci du retour"
2026-03-25 22:35:21,🙏🏾❤️
2026-03-25 20:43:38,Xalaat yi ñoma bugul bayi quoi 😁
2026-03-25 13:13:51,"Dëggit, lu werr Ndeysaan"
2026-03-25 01:06:32,😁🙏🏾
2026-03-25 01:06:18,🙌🏾❤️
2026-03-24 23:19:40,🤝❤️
2026-03-24 23:19:31,"Eskeuy, lu werr🤝"
2026-03-24 22:27:54,🤝❤️
2026-03-24 20:49:40,"Écris moi, ma gën a comprendre ce qui se passe"
2026-03-24 20:22:25,Amiin🙏🏾
2026-03-24 20:22:17,🤝❤️
2026-03-24 19:51:12,C’est très dommage! Ça montre l’obsolescence de notre système éducatif…
2026-03-24 19:49:20,🙏🏾❤️
2026-03-24 19:49:04,"Yombul d, surtout jamono jii. Waaye Xam sa bopp jarnako"
2026-03-24 19:21:38,🙌🏾❤️
2026-03-24 19:13:07,🤝❤️
2026-03-24 17:38:41,Sòy xalaat Borom bi sa xel ci lumuy nek?
2026-03-24 17:37:52,Yaw li ngay xalaat louma ci?😭
2026-03-24 17:29:57,Merci ❤️
2026-03-24 17:29:38,🙌🏾📌
2026-03-24 09:10:32,🤝❤️
2026-03-24 09:10:27,🙌🏾❤️
2026-03-24 00:24:18,😁🙌🏾
2026-03-24 00:24:08,🧠❤️
2026-03-24 00:23:59,Motax ma indi Amul xalaat bi😂😂
2026-03-23 22:46:00,🤝❤️
2026-03-23 22:20:35,Heureusement ba wadoul 😭😁
2026-03-23 20:13:57,Amul xalaat
2026-03-23 20:13:37,Yaag na🙌🏾
2026-03-23 20:00:03,"Très belle perspective Professeur🫡! Ku jaamu sa bakkan lor bakkan. Les femmes doivent comprendre ces notions, mu baña nek juste muru ou pas de façon mécanique ou trend. Xam xam rekkay dëgg🤝"
2026-03-23 19:18:30,🤝❤️
2026-03-23 17:55:11,Absolument
2026-03-23 17:54:25,🙌🏾❤️
2026-03-23 15:50:08,❤️📌
2026-03-23 15:50:03,🙌🏾❤️
2026-03-23 15:34:27,😁🙌🏾
2026-03-23 15:34:17,Bien vu! C’est ça le plus dangereux très cher
2026-03-23 14:55:13,Tout à fait. L’ego domine ce monde
2026-03-23 14:54:42,Amiin🤝❤️
2026-03-23 13:20:28,Merci🤝
2026-03-22 13:48:19,"Merci bcp, très bien vu🤝. Disons que cet illusion renforce l’ignorance. La peur est due à l’ignorance. Niak xam mo waral fitna gi"
2026-03-21 22:39:16,🙏🏾❤️
2026-03-21 18:30:00,Jaajef🤝❤️
2026-03-21 16:29:30,Jaajef🤝
2026-03-21 16:16:07,Mercii🫶🏿
2026-03-21 16:15:54,"Merci, content que ça plaise 🫶🏿"
2026-03-21 14:00:50,Ndeysaan bobu kemtaan
2026-03-21 12:18:41,J’y songe
2026-03-21 12:18:31,Merci 🙏🏾❤️
2026-03-21 12:18:12,Amiin 🙏🏾❤️
2026-03-21 12:18:03,Alhamdoulilah
2026-03-21 12:17:54,Amiin🙏🏾❤️
2026-03-21 06:04:05,Jaajef 🤝❤️
2026-03-21 06:03:54,🤝❤️
2026-03-21 00:36:44,Amiin
