Date,Likes,WhoCanView,AllowComments,Sound,Month,DayOfWeek,Hour,Quarter,SoundType,Phases
2026-05-01 12:08:51,1814,Everyone,Yes,original sound - amul_xalaat,2026-05,Friday,12,2,Original,Maturation
2026-04-10 09:27:16,5489,Everyone,Yes,original sound - amul_xalaat,2026-04,Friday,9,2,Original,Maturation
2026-03-31 10:40:29,691,Everyone,Yes,Guitarra espaniola - Ashraf Ziada,2026-03,Tuesday,10,1,trending/music,Maturation
2026-03-30 20:57:53,1519,Everyone,Yes,Guitarra espaniola - Ashraf Ziada,2026-03,Monday,20,1,trending/music,Maturation
2026-03-26 10:59:18,1282,Everyone,Yes,Guitarra espaniola - Ashraf Ziada,2026-03,Thursday,10,1,trending/music,Maturation
2026-03-24 19:20:13,1324,Everyone,Yes,【No drums】 Emotional space-like epic ... - MoppySound,2026-03,Tuesday,19,1,trending/music,Maturation
2026-03-23 15:03:52,2471,Everyone,Yes,【No drums】 Emotional space-like epic ... - MoppySound,2026-03,Monday,15,1,trending/music,Maturation
2026-03-20 22:16:50,1864,Everyone,Yes,【No drums】 Emotional space-like epic ... - MoppySound,2026-03,Friday,22,1,trending/music,Maturation
2026-03-17 20:25:28,900,Everyone,Yes,Saam Faal gi By Kdolzbeatz - kdtrapapeuh,2026-03,Tuesday,20,1,trending/music,Maturation
2026-03-10 21:11:25,279,Everyone,Yes,original sound - amul_xalaat,2026-03,Tuesday,21,1,Original,Maturation
2026-03-09 22:19:09,385,Everyone,Yes,original sound - amul_xalaat,2026-03,Monday,22,1,Original,Maturation
2026-03-03 22:18:14,1331,Everyone,Yes,【No drums】 Emotional space-like epic ... - MoppySound,2026-03,Tuesday,22,1,trending/music,Maturation
2026-02-25 19:52:34,1229,Everyone,Yes,original sound - ikrambaloch080,2026-02,Wednesday,19,1,Original,Maturation
2026-02-20 22:19:10,2269,Everyone,Yes,original sound - ikrambaloch080,2026-02,Friday,22,1,Original,Maturation
2026-02-19 06:16:47,1102,Everyone,Yes,آهات بشرية اسلامية - صمت - Islamic Sound - Calm - Voice of the soul - صوت الروح,2026-02,Thursday,6,1,trending/music,Maturation
2026-02-16 22:27:13,1244,Everyone,Yes,original sound - amul_xalaat,2026-02,Monday,22,1,Original,Maturation
2026-02-14 21:56:42,231,Everyone,Yes,Saam Faal - Kdolz beatz,2026-02,Saturday,21,1,trending/music,Maturation
2026-02-12 15:01:46,1247,Everyone,Yes,Idea 10 - Clavier,2026-02,Thursday,15,1,trending/music,Maturation
2026-01-29 13:12:58,465,Everyone,Yes,Idea 10 - Clavier,2026-01,Thursday,13,1,trending/music,Stabilisation
2026-01-23 21:15:30,654,Everyone,Yes,original sound - amul_xalaat,2026-01,Friday,21,1,Original,Stabilisation
2026-01-21 12:40:36,486,Everyone,Yes,original sound - amul_xalaat,2026-01,Wednesday,12,1,Original,Stabilisation
